date,direction,control_power,wf_power,upwelling,seabreeze,power_diff
2022-07-27,193.2732928504262,3.7601214586834675,1.6616915803527832,upwelling present,seabreeze absent,2.098429878330684
2022-07-28,224.85137474203785,28.589783801395825,15.311743734375,upwelling present,seabreeze present,13.278040067020825
2022-07-29,254.37934120332432,22.4183482673894,12.09807878454113,upwelling present,seabreeze absent,10.320269482848271
2022-07-30,285.5174291387929,14.642262656935502,7.546233874542236,upwelling present,seabreeze present,7.096028782393266
2022-07-31,259.56166527380145,16.828188525292468,8.631495779811383,upwelling present,seabreeze absent,8.196692745481085
2022-08-01,230.57131666246502,25.77697878369095,13.361434625,upwelling present,seabreeze present,12.41554415869095
2022-08-02,235.9863862590995,25.021456186691605,11.583294122558593,upwelling present,seabreeze absent,13.438162064133012
2022-08-03,2.1337671049678506,15.882715061531034,7.357120347914576,upwelling present,seabreeze present,8.525594713616456
2022-08-04,201.41912671874516,15.66471281204651,6.562041586547852,upwelling present,seabreeze present,9.102671225498657
2022-08-05,236.879406172322,17.367664127284332,9.77104927314818,upwelling present,seabreeze absent,7.596614854136153
2022-08-06,218.12126150374414,36.17004409508003,20.127617765625,upwelling present,seabreeze absent,16.04242632945503
2022-08-07,212.30538274623495,63.795383888085176,37.63240975,upwelling present,seabreeze present,26.162974138085175
2022-08-08,213.21483609460049,71.96848088137627,49.688328875,upwelling present,seabreeze present,22.280152006376262
2022-08-09,227.33188088253306,61.97603770585756,49.60602778125,upwelling present,seabreeze absent,12.370009924607558
2022-08-10,21.225685402481094,17.823856234956995,9.11806508543396,upwelling present,seabreeze present,8.705791149523035
2022-08-11,239.36123736951618,17.70857292746678,8.54200727128601,upwelling present,seabreeze present,9.166565656180769
2022-08-12,7.0003505265789245,39.92777912200069,21.04519496875,upwelling present,seabreeze present,18.882584153250694
2022-08-13,25.647070050358156,20.710563120864123,10.948381884017945,upwelling present,seabreeze present,9.762181236846178
2022-08-14,194.90341311849812,0.8698755402800322,0.3536360990912914,upwelling present,seabreeze absent,0.5162394411887408
2022-08-15,83.01702200273223,8.519751128810663,5.2760869504981045,upwelling present,seabreeze absent,3.2436641783125584
2022-08-16,54.45572538448849,47.52080248553122,29.654162828125,upwelling present,seabreeze absent,17.86663965740622
2022-08-17,64.46972527383265,16.11867924353802,10.16239617932129,upwelling present,seabreeze present,5.956283064216729
2022-08-18,244.70695322531836,12.252685898231391,6.628025208709717,upwelling present,seabreeze present,5.624660689521674
2022-08-19,227.00556176474652,19.329723984757326,9.564812612574935,upwelling present,seabreeze absent,9.764911372182391
2022-08-20,182.5960132907821,9.189793700475809,4.283948769897461,upwelling present,seabreeze absent,4.905844930578348
2022-08-21,110.55547730219905,8.327909523939686,5.340356588867188,upwelling absent,seabreeze absent,2.9875529350724985
2022-08-22,191.97233305883555,27.787121282882943,19.13785073764038,upwelling absent,seabreeze absent,8.649270545242562
2022-08-23,229.31225325124322,28.655867850736467,14.686888,upwelling absent,seabreeze present,13.968979850736467
2022-08-24,277.985383390048,7.320970980668787,3.633346307220459,upwelling absent,seabreeze present,3.6876246734483282
2022-08-25,270.5091129660654,13.120326694210176,6.525832719970703,upwelling absent,seabreeze present,6.594493974239473
2022-08-26,216.02242633406925,42.84981955466919,27.1594028125,upwelling absent,seabreeze present,15.690416742169187
2022-08-27,224.92774991733694,25.209632098681055,14.621134262329102,upwelling absent,seabreeze absent,10.588497836351953
2022-08-28,119.40397371157223,4.400841683875771,2.3615653904857634,upwelling absent,seabreeze absent,2.0392762933900075
2022-08-29,137.454278555705,7.039019323813376,4.526832917869568,upwelling absent,seabreeze absent,2.512186405943808
2022-08-30,189.61203824773256,21.42721865896058,13.5150865078125,upwelling absent,seabreeze absent,7.91213215114808
2022-08-31,274.6200194123885,36.787123552880765,24.7611688125,upwelling absent,seabreeze absent,12.025954740380765
